"genes"	"modules"
"BEX2"	"M3"
"APCDD1"	"M3"
"PIK3AP1"	"M4"
"A2ML1"	"M1"
"BCL2"	"M1"
"FEZ1"	"M1"
"APOL4"	"M4"
"EPHB6"	"M5"
"AKT3"	"M3"
"KYNU"	"M1"
"ANKRD22"	"M1"
"LFNG"	"Not.Correlated"
"GALNT14"	"M1"
"LDOC1"	"M1"
"FAM171A1"	"M1"
"GBP3"	"M4"
"RIN1"	"M1"
"AKAP12"	"M3"
"PTN"	"M5"
"NPTXR"	"M1"
"SH3BGRL2"	"M6"
"MYO5C"	"M6"
"ADA"	"M2"
"ERAP2"	"M4"
"CITED4"	"M1"
"NLRP1"	"M1"
"SDPR"	"M5"
"ESPN"	"M1"
"CFI"	"M6"
"BIRC3"	"M4"
"PNCK"	"M5"
"EDARADD"	"M2"
"CXCL12"	"M3"
"HSPA4L"	"M2"
"FAM46C"	"M4"
"IFI44"	"M4"
"CA9"	"M1"
"FAP"	"M3"
"DFNA5"	"M3"
"TGFBR3"	"M5"
"RARRES1"	"M4"
"AMIGO2"	"M3"
"EML1"	"M2"
"AFAP1L2"	"M3"
"NAPSA"	"M6"
"MAP2"	"M2"
"ALS2CL"	"M1"
"HLA-DOA"	"M4"
"TPSAB1"	"M3"
"DERL3"	"M4"
"TMEM158"	"M2"
"CEACAM1"	"M1"
"DBNDD1"	"M1"
"VAV3"	"M2"
"FAM89A"	"M2"
"GATM"	"M4"
"C10orf116"	"M1"
"FHL1"	"M3"
"FBN2"	"M2"
"RHPN2"	"M1"
"ARTN"	"M2"
"ETV1"	"M3"
"FCGBP"	"M3"
"TMEM116"	"M2"
"DNM1"	"M3"
"GPR160"	"M5"
"PLCD1"	"M2"
"SPRR1A"	"M1"
"HES2"	"M1"
"CYP4F11"	"M2"
"LEF1"	"M2"
"PAX9"	"M1"
"LRRC8E"	"M5"
"SPOCK1"	"M3"
"SPRR2D"	"M1"
"SBK1"	"M1"
"EPB41L3"	"M4"
"FAM83A"	"M1"
"TMEM154"	"M1"
"PTCH1"	"M2"
"CNTNAP2"	"M2"
"ARNT2"	"M1"
"TMEM20"	"M2"
"NGFR"	"M3"
"MCF2L"	"M5"
"MAP1A"	"M2"
"MYO15B"	"M2"
"FYB"	"M4"
"SGCE"	"M1"
"KAL1"	"M3"
"NELL2"	"M5"
"RARRES3"	"M4"
"MSC"	"M2"
"GAMT"	"M2"
"LYNX1"	"M1"
"DAPP1"	"M1"
"COL8A2"	"M3"
"POU2AF1"	"M4"
"HMCN1"	"M3"
"CLEC7A"	"M4"
"HSPB8"	"M6"
"SYT7"	"M5"
"CBR3"	"M2"
"PIGR"	"M6"
"PTK6"	"M1"
"SLCO2A1"	"M4"
"SLC38A5"	"M3"
"OVOL1"	"M1"
"FLJ45445"	"M2"
"PCSK6"	"Not.Correlated"
"BCL11B"	"M1"
"GULP1"	"M2"
"FMO2"	"M4"
"PABPC1L"	"M3"
"OLFM1"	"M2"
"CXCL13"	"M4"
"SRPX2"	"M1"
"DNAJC15"	"Not.Correlated"
"COL14A1"	"M3"
"BAG2"	"M2"
"DLL1"	"Not.Correlated"
"COPZ2"	"M1"
"TLE2"	"M1"
"EPDR1"	"M2"
"GDF15"	"M1"
"PODN"	"M3"
"HSPA6"	"Not.Correlated"
"AMOT"	"M1"
"SH3TC1"	"M3"
"IFIT1"	"M4"
"LAYN"	"M5"
"HMGA2"	"M5"
"CYFIP2"	"M1"
"NRN1"	"M5"
"CAPS"	"M6"
"GPX7"	"M2"
"BHLHE41"	"M3"
"ABCA12"	"M1"
"ODZ2"	"M3"
"CA2"	"M3"
"CARD11"	"M2"
"HOMER2"	"M1"
"RHCG"	"M1"
"EDN1"	"M2"
"COL9A2"	"M2"
"ALDH1L2"	"M3"
"KCNJ2"	"M5"
"RAP1GAP2"	"M2"
"NCKAP1L"	"M4"
"SPINK5"	"M1"
"S1PR5"	"M1"
"AOC3"	"M3"
"LAMA2"	"M3"
"C19orf21"	"M6"
"C6orf168"	"M5"
"ADAP1"	"M5"
"RPS4Y1"	"Not.Correlated"
"IL18"	"M1"
"CHST7"	"M2"
"GPR98"	"M2"
"IL20RB"	"M1"
"TNFRSF18"	"M1"
"DIO2"	"M3"
"SDCBP2"	"M1"
"UPK1B"	"M5"
"LRRK2"	"M6"
"CDH13"	"M3"
"CRISPLD1"	"M2"
