genes modules
356 AIM1 M2
357 FHL2 M3
358 EIF4EBP1 M1
359 HIST1H2AC Not.Correlated
360 SLC6A14 M1
361 SDR16C5 M1
362 C4orf31 M1
363 ACSS1 M1
364 KRT80 M1
365 PDZK1IP1 M1
366 CISH M1
367 ST6GALNAC1 M1
368 MTSS1 M1
369 CYFIP2 M1
370 PEG10 M1
371 FNIP2 M1
372 MFAP4 M1
373 GALNT6 M1
374 TMEM176A M4
375 FGG M2
376 CAPN5 M4
377 AUTS2 M1
378 RPS27 Not.Correlated
379 ANXA3 M1
380 SPON2 M3
381 HTRA3 M3
382 BIRC3 M2
383 PLEKHA6 M4
384 ABCC4 M1
385 ATF3 M1
386 FGFR1 M3
387 MRC1 M2
388 PLA2G16 M2
389 ID1 M4
390 CEBPA M1
391 RNF43 M2
392 LAMA3 M4
393 STS M1
394 GEM M1
395 SCNN1B M1
396 DPYD M2
397 CAPS M1
398 CCNB1 M1
399 GYLTL1B Not.Correlated
400 MSR1 M2
401 IRS1 M3
402 FAM20A M1
403 FMO5 M1
404 ANK3 M1
405 NEURL1B M3
406 KCNK1 M1
407 EPS8L1 M1
408 HLA-DOA M2
409 PXMP4 M1
410 LASS4 M1
411 C8orf73 M1
412 TLR2 M2
413 SFRP4 M1
414 EGLN3 M1
415 SBK1 M4
416 GBP3 M2
417 NYNRIN M4
418 PLA2G4A M2
419 PTGDS M1
420 SOD3 M1
421 SLC7A8 M1
422 WNT7B M1
423 SORBS2 M1
424 MAP1B M3
425 FLRT3 M1
426 HS6ST2 M1
427 AOC3 M1
428 ECM1 M2
429 FAM105A M1
430 VAMP5 M1
431 HIST1H1C Not.Correlated
432 GPR126 M4
433 CCNJL M1
434 RHOF M1
435 ANLN M1
436 KCNQ1 M1
437 SPNS2 M1
438 PRKCA M1
439 CXCL9 M1
440 TUBB2A M1
441 PLBD1 M1
442 C7 M1
443 LRG1 M1
444 PON3 M1
445 SCGB3A1 M1
446 SLC6A8 M1
447 SDPR M1
448 MMP7 M2
449 PRC1 M1
450 ME1 M4
451 AKR1C2 M4
452 LIPH M1
453 COL15A1 M3
454 LPL M1
455 SCEL M1
456 PDK4 M1
457 TGFA Not.Correlated
458 SPON1 M1
459 SPDEF M1
460 ROS1 M1
461 FOXJ1 M2
462 B3GNT3 Not.Correlated
463 CLIC2 M1
464 EPPK1 Not.Correlated
465 MYBL2 M1
466 GLB1L2 M1
467 OLFML3 M1
468 COL10A1 M3
469 AQP4 M1
470 ETV1 M1
471 CDK1 M1
472 PLEKHB1 M1
473 EFNA5 M1
474 MYO15B M1
475 HIST2H2BE M2
476 CYP4B1 M1
477 ALPK3 M2
478 TESC M4
479 AKAP12 M1
480 ANGPTL4 M1
481 F2RL1 M1
482 DUSP5 Not.Correlated
483 TREM1 M1
484 TSPAN8 M4
485 ATP2C2 M1
486 FOXM1 M1
487 ASAP2 M1
488 AGR3 M1
489 LOC441869 M1
490 TMPRSS13 Not.Correlated
491 ERAP2 Not.Correlated
492 GNG11 M4
493 LOXL2 M3
494 PLCH1 M1
495 UBD M1
496 SPAG5 M1
497 PPM1H M1
498 MFSD2A M1
499 TUSC3 M1
500 ITGBL1 M1
501 COL8A1 M3
502 KIAA1199 M3
503 PGC M1
504 PHLDA2 M3
505 GULP1 M4
506 MAP2 M4
507 ENPP5 M1
508 RIMKLB Not.Correlated
509 SLC7A11 M4
510 MFSD4 M1
511 TPSB2 M1
512 PER3 M2
513 IL8 M1
514 KCNN4 M2
515 DEPDC6 M1
516 IFIT1 M2
517 CSF3R M1
518 B4GALNT3 M1
519 FAM83E M1
520 CRLF1 M1
521 COBL M1
522 RAMP1 Not.Correlated
523 F13A1 M2
524 C5orf4 M1
525 COL14A1 M1
526 RND3 M1
527 SLC4A4 M1
528 IFI44 M2
529 DOCK5 M1
530 PLCXD1 Not.Correlated
531 AG2 M1
532 VSIG4 M2
533 KRT17 M4
534 THNSL2 Not.Correlated
535 CCDC64B M1
536 DMBT1 M1
537 SLAMF7 M2
538 FGFR3 M1
539 TFF3 Not.Correlated
540 APOD M1
541 MCF2L Not.Correlated
542 TNXB M1
543 TNFRSF19 M1
544 IGSF9 M1
545 PITPNC1 M1
546 KIAA1244 M1
547 CLMN M1
548 CXCL14 M1
549 DNALI1 M1
550 OBSCN M1
551 SLC22A3 M1
552 WNT5A M1
553 PTGES Not.Correlated
554 C15orf48 M1
555 TSPYL5 Not.Correlated
556 PNMA2 M1
557 GGT1 M1
558 COLEC12 M2
559 ALOX15B M1
560 CPVL M2
561 PPP1R1B M1
562 HLA-DQA2 M2
563 FAM69B Not.Correlated
564 CDC20 M1
565 STEAP2 M1
566 GOLGA8B M1
567 TPPP3 M1
568 FERMT1 Not.Correlated
569 SEMA3B M1
570 KIF11 M1
571 DNAH5 M1
572 MFAP2 M3
573 OXCT1 M4
574 FUT3 M1
575 AIF1L Not.Correlated
576 PTK6 M1
577 IFI44L M2
578 SLC16A4 M1
579 QPRT M1
580 ALS2CL M1
581 ADAMTSL4 M2
582 CDK6 M1
583 CAPN8 M1
584 LDOC1 M2
585 ERO1LB M1
586 LTF M1
587 FHL1 M1
588 GSTM3 M1
589 DUSP4 M2
590 PSAT1 M1
591 SDK1 M1
592 LIF Not.Correlated
593 MEX3A M1
594 AURKA M1
595 GCNT3 M4
596 C9orf152 M1
597 NR4A2 M1
598 FOSB M1
599 AASS M1
600 SLC2A10 Not.Correlated
601 SCIN Not.Correlated
602 KAL1 M1
603 IQGAP3 M1
604 CACNA2D2 M1
605 SHROOM4 M1
606 C5 M1
607 MT1E M2
608 HNF1B M1
609 CDCA7 M1
610 RECQL4 M1
611 KLF4 M4
612 COL4A4 M1
613 TCF7L1 M1
614 CD109 M1
615 HMCN1 M1
616 EPHA4 M1
617 CAMK2N1 Not.Correlated
618 LOC84740 M1
619 HAS3 M1
620 GPR39 M1
621 KRT15 Not.Correlated
622 SLC29A4 M1
623 CMAH M1
624 CAPN12 M1
625 SLC26A9 M1
626 MMP1 M3
627 CDKN2B Not.Correlated
628 PABPC1L Not.Correlated
629 SERPINE2 M3
630 ANPEP M2
631 GRHL1 Not.Correlated
632 PLEKHG4 M4
633 RND1 M4
634 ASPN M3
635 IRAK3 M1
636 STC1 M1
637 DAAM2 M1
638 ALDOC M1
639 PTTG1 M1
640 ALDH1A3 M3
641 QPCT M1
642 C9orf140 M1
643 MUC21 M1
644 AMOT M1
645 NCALD M1
646 MDFI M1
647 SOX9 Not.Correlated
648 CIITA M2
649 CBS M1
650 TSPAN7 M4
651 MOSC1 M4
652 GREM1 M3
653 SLC15A2 M1
654 UCHL1 M4
655 OSGIN1 M4
656 PRSS22 Not.Correlated
657 FAM3B Not.Correlated
658 SSC5D M1
659 TMEM163 M1
660 TFAP2C Not.Correlated
661 CXCR7 M1
662 CAPN13 M1
663 FGFR2 M1
664 HLA-DRB6 M2
665 KCNE3 M4
666 HSPB8 M1
667 CARD11 M1
668 FA2H M4
669 SHC2 M1
670 TOX3 M1
671 FMO2 M1
672 IGF2 M3
673 EPHB2 M3
674 MYEF2 Not.Correlated
675 ASRGL1 Not.Correlated
676 UBE2C M1
677 GADD45G M1
678 GPR133 M1
679 SIX1 M4
680 COL9A2 M1
681 BUB1 M1
682 HES6 M1
683 PLLP M1
684 MYO1G M2
685 NDUFA4L2 M1
686 DMKN M1
687 PHGDH M1
688 GGH M1
689 LRFN4 M1
690 KCNJ15 M1
691 SYBU M1
692 TPD52L1 M4
693 BMP2 M1
694 SLC16A14 M2
695 EDN1 M1
696 CHL1 M1
697 CHIT1 M1
698 CXCL2 M1
699 NPAS2 Not.Correlated
