,logFC,t,P.Value,adj.P.Val,B,direction
FAM107A,-6.15729965190412,-26.2694279770106,1.05648226466554e-83,8.45445071183887e-82,180.294009452016,down
TENC1,-2.75102258232489,-26.2551004220559,1.19603406815928e-83,9.51284657626198e-82,180.17017306035,down
EZH2,3.70104530029875,26.1540417758805,2.8713077085555e-83,2.25863392554643e-81,179.296036853511,up
ECE2,3.98416611352974,26.1539187255762,2.87437313432005e-83,2.25863392554643e-81,179.294971787654,up
FAM83F,6.3118805202922,26.1439249609286,3.13460049959714e-83,2.4483670010027e-81,179.208464711012,up
AK1,-2.6745121911583,-26.1348253792721,3.39201521827956e-83,2.63365753019277e-81,179.129687939478,down
ZWILCH,2.16086605816551,26.1300305540427,3.53606466295829e-83,2.72925606293657e-81,179.088174474847,up
WDR72,6.11119659639214,26.1284279170171,3.58556568820262e-83,2.751183460995e-81,179.074298307553,up
PRX,-4.13128636609351,-26.1233309135177,3.74765884505408e-83,2.85874046636757e-81,179.030164815027,down
C12orf56,8.00826029750289,26.1128591694709,4.10407338002506e-83,3.11241471913063e-81,178.939483764263,up
RTKN2,-4.32643727143499,-26.1008729586922,4.55389412895225e-83,3.43358352705509e-81,178.835672829821,down
HYAL2,-1.95889770580917,-26.0481256932944,7.19837906014166e-83,5.39630209543034e-81,178.378643188776,down
TK1,3.82550498448796,26.0472971663984,7.25035477823261e-83,5.40420729870093e-81,178.371461898979,up
HMMR,3.90720754622238,25.9771499318116,1.33358380238218e-82,9.88367449901883e-81,177.763177749128,up
SHE,-4.03965068807121,-25.939433197013,1.85106704218508e-82,1.36414228803741e-80,177.435887248598,down
KIAA0101,3.98556614615777,25.8933831119391,2.76299870053324e-82,2.02475028369413e-80,177.036067194757,up
DSP,4.35769372239848,25.8741441030839,3.26654225667572e-82,2.38037861430604e-80,176.86895834889,up
DLX6,8.71540747354526,25.8657398971746,3.51442981946656e-82,2.54679014250677e-80,176.795946957949,up
