,logFC,t,P.Value,adj.P.Val,B,direction
ATP6AP1,-0.329338320990032,-3.6344327479086,0.000869435623488718,0.00199804761677005,-2.04684056541162,no DE
FAM200A,0.51493384010151,3.43645492551225,0.00151213729188845,0.00330612115913391,-2.04695833129755,no DE
TUBG2,-0.475646058439042,-3.5680275468257,0.00104809990749697,0.00236652504645845,-2.04749177815973,no DE
RNF41,-0.357700110851327,-3.64283081533538,0.000849053645428328,0.0019556870476721,-2.04886803584922,no DE
WBP4,-0.574146214215892,-3.51669131465069,0.00120997943442105,0.00269840515346011,-2.04906994770606,no DE
LRRC45,0.689701258445,3.57672320467703,0.00102283285242927,0.00231307762258798,-2.04909682668598,no DE
YME1L1,0.355319549335225,3.64575282120449,0.000842070834949068,0.00194063109029605,-2.05008892892104,no DE
SAMSN1,-0.66204699304882,-3.61787927631534,0.000911003215773284,0.00208183706141323,-2.05105038079578,no DE
MRPS35,0.599045945842402,3.62715689506927,0.000887475402843081,0.0020348442880445,-2.0534435817636,no DE
RFT1,0.388672333094652,3.59476193051517,0.000972277156209231,0.0022125581342626,-2.05360621182203,no DE
VRK1,0.714067360054608,3.4775375608472,0.00134935425012787,0.00298422801605086,-2.05523548158399,no DE
PTGES3,0.39382542362121,3.62190166396895,0.000900729512906113,0.00206124838006094,-2.05619343493009,no DE
TCP11L1,0.466426311884661,3.57317124453962,0.00103308205411665,0.00233504112179824,-2.05642034861808,no DE
RAB8A,-0.324717637995737,-3.64674694252696,0.000839707826692588,0.00193621157705111,-2.05816867832242,no DE
B3GALT6,0.434243929019637,3.63373446548058,0.000871151465780097,0.002001084544585,-2.0596984927968,no DE
